Metric,SPY,Strategy
Risk-Free Rate,4.18%,4.18%
Time in Market,70.0%,81.0%
,,
Total Return,9%,4%
CAGR% (Annual Return),17.02%,7.74%
,,
Sharpe,0.92,0.32
RoMaD,1.98,1.32
Corr to Benchmark,1.0,0.13
Prob. Sharpe Ratio,61.89%,45.41%
Smart Sharpe,0.72,0.25
Sortino,1.32,0.47
Smart Sortino,1.04,0.37
Sortino/√2,0.93,0.34
Smart Sortino/√2,0.73,0.26
Omega,1.07,1.07
,,
Max Drawdown,-8.58%,-5.88%
Longest DD Days,63,64
Volatility (ann.),13.6%,12.82%
R^2,0.02,0.02
Information Ratio,-0.02,-0.02
Calmar,1.98,1.32
Skew,-0.14,0.64
Kurtosis,3.54,14.3
,,
Expected Daily%,0.04%,0.02%
Expected Monthly%,1.19%,0.56%
Expected Yearly%,8.67%,4.02%
Daily Value-at-Risk,-1.13%,-1.08%
Expected Shortfall (cVaR),-1.13%,-1.08%
,,
MTD,-1.35%,0.81%
3M,4.26%,2.01%
6M,8.76%,2.91%
YTD,8.67%,4.02%
1Y,8.67%,4.02%
3Y (ann.),17.02%,7.74%
5Y (ann.),17.02%,7.74%
10Y (ann.),17.02%,7.74%
All-time (ann.),17.02%,7.74%
,,
Best Day,3.03%,4.15%
Worst Day,-2.69%,-3.3%
Best Month,5.92%,1.18%
Worst Month,-1.35%,-0.79%
Best Year,8.67%,4.02%
Worst Year,8.67%,4.02%
,,
Avg. Drawdown,-1.46%,-1.85%
Avg. Drawdown Days,10,19
Recovery Factor,1.03,0.74
Ulcer Index,0.02,0.02
Serenity Index,0.37,0.02
,,
Avg. Up Month,3.08%,0.75%
Avg. Down Month,-,-
Win Days,107.13,101.97
Loss Days,86.87,92.03
Win Days%,55.22%,52.56%
Win Month%,57.14%,85.71%
Win Quarter%,66.67%,100.0%
Win Year%,100.0%,100.0%
,,
Beta,-,0.12
Alpha,-,0.06
Correlation,-,12.92%
Treynor Ratio,-,-1.33%
