time,strategy,identifier,symbol,side,type,status,multiplier,time_in_force,asset.right,asset.strike,asset.multiplier,asset.expiration,asset.asset_type,price,filled_quantity,trade_cost
2024-06-17 09:30:00-04:00,BullishCallSpread,74d60fdbe3324110a3611388f9e32da1,SPY,buy,market,new,1,gtc,CALL,540,100,2024-07-19,option,,,
2024-06-17 09:30:00-04:00,BullishCallSpread,d518a465527943d89aba2a79226ed169,SPY,sell,market,new,1,gtc,CALL,545,100,2024-07-19,option,,,
2024-06-17 09:30:00-04:00,BullishCallSpread,74d60fdbe3324110a3611388f9e32da1,SPY,buy,market,fill,100,gtc,CALL,540,100,2024-07-19,option,8.8,10.0,0.0
2024-06-17 09:30:00-04:00,BullishCallSpread,d518a465527943d89aba2a79226ed169,SPY,sell,market,fill,100,gtc,CALL,545,100,2024-07-19,option,5.87,10.0,0.0
2024-07-19 16:00:00-04:00,BullishCallSpread,0796e2d9d4574cdaa7cd7b9b6a46a797,SPY,sell,cash_settled,cash_settled,100,gtc,CALL,540,100,2024-07-19,option,8.960000000000036,10.0,
2024-07-19 16:00:00-04:00,BullishCallSpread,8b1809e862184c42b36150cac6a52085,SPY,buy,cash_settled,cash_settled,100,gtc,CALL,545,100,2024-07-19,option,3.9600000000000364,10.0,
2024-07-22 09:30:00-04:00,BullishCallSpread,9345362f4b3c4a8ea079edcb35774ff6,SPY,buy,market,new,1,gtc,CALL,555,100,2024-08-16,option,,,
2024-07-22 09:30:00-04:00,BullishCallSpread,836d09d238e64b4abbefd0ceba6a4832,SPY,sell,market,new,1,gtc,CALL,560,100,2024-08-16,option,,,
2024-07-22 09:30:00-04:00,BullishCallSpread,9345362f4b3c4a8ea079edcb35774ff6,SPY,buy,market,fill,100,gtc,CALL,555,100,2024-08-16,option,8.0,10.0,0.0
2024-07-22 09:30:00-04:00,BullishCallSpread,836d09d238e64b4abbefd0ceba6a4832,SPY,sell,market,fill,100,gtc,CALL,560,100,2024-08-16,option,5.39,10.0,0.0
2024-08-16 16:00:00-04:00,BullishCallSpread,989860e97cbf4fa69ecf8f10a4577fc6,SPY,sell,cash_settled,cash_settled,100,gtc,CALL,555,100,2024-08-16,option,0.0,10.0,
2024-08-16 16:00:00-04:00,BullishCallSpread,02b761a4b44a4f07992e8a6c3767d03f,SPY,buy,cash_settled,cash_settled,100,gtc,CALL,560,100,2024-08-16,option,0.0,10.0,
2024-08-19 09:30:00-04:00,BullishCallSpread,fc05e8740776472c847f301a186997e7,SPY,buy,market,new,1,gtc,CALL,555,100,2024-09-20,option,,,
2024-08-19 09:30:00-04:00,BullishCallSpread,0f5ee4add7c04cca9e219c39c27b9571,SPY,sell,market,new,1,gtc,CALL,560,100,2024-09-20,option,,,
2024-08-19 09:30:00-04:00,BullishCallSpread,fc05e8740776472c847f301a186997e7,SPY,buy,market,fill,100,gtc,CALL,555,100,2024-09-20,option,9.7,10.0,0.0
2024-08-19 09:30:00-04:00,BullishCallSpread,0f5ee4add7c04cca9e219c39c27b9571,SPY,sell,market,fill,100,gtc,CALL,560,100,2024-09-20,option,6.86,10.0,0.0
2024-09-20 16:00:00-04:00,BullishCallSpread,878fa1b0d9fd426a9ea448f1516ecb6f,SPY,sell,cash_settled,cash_settled,100,gtc,CALL,555,100,2024-09-20,option,13.100000000000023,10.0,
2024-09-20 16:00:00-04:00,BullishCallSpread,361ea5dd97f74d5db8442d9218726dd3,SPY,buy,cash_settled,cash_settled,100,gtc,CALL,560,100,2024-09-20,option,8.100000000000023,10.0,
2024-09-23 09:30:00-04:00,BullishCallSpread,e8c83c85cf4749a2b6a6a9776748fc63,SPY,buy,market,new,1,gtc,CALL,570,100,2024-10-18,option,,,
2024-09-23 09:30:00-04:00,BullishCallSpread,252c272ea8e64b2daf259cd774f16773,SPY,sell,market,new,1,gtc,CALL,575,100,2024-10-18,option,,,
2024-09-23 09:30:00-04:00,BullishCallSpread,e8c83c85cf4749a2b6a6a9776748fc63,SPY,buy,market,fill,100,gtc,CALL,570,100,2024-10-18,option,8.36,10.0,0.0
2024-09-23 09:30:00-04:00,BullishCallSpread,252c272ea8e64b2daf259cd774f16773,SPY,sell,market,fill,100,gtc,CALL,575,100,2024-10-18,option,5.5,10.0,0.0
2024-10-18 16:00:00-04:00,BullishCallSpread,0311db652e004a57889cbedb0ea179fc,SPY,sell,cash_settled,cash_settled,100,gtc,CALL,570,100,2024-10-18,option,14.529999999999973,10.0,
2024-10-18 16:00:00-04:00,BullishCallSpread,2d164bc268294c45b50ef28cfdcb6b3c,SPY,buy,cash_settled,cash_settled,100,gtc,CALL,575,100,2024-10-18,option,9.529999999999973,10.0,
2024-10-21 09:30:00-04:00,BullishCallSpread,bd1a5b6e8a4e41dbb6e804f9354b5347,SPY,buy,market,new,1,gtc,CALL,585,100,2024-11-15,option,,,
2024-10-21 09:30:00-04:00,BullishCallSpread,dedcf75ee9ed4fb381a9d1572fa044d1,SPY,sell,market,new,1,gtc,CALL,590,100,2024-11-15,option,,,
2024-10-21 09:30:00-04:00,BullishCallSpread,bd1a5b6e8a4e41dbb6e804f9354b5347,SPY,buy,market,fill,100,gtc,CALL,585,100,2024-11-15,option,9.97,10.0,0.0
