time,strategy,identifier,symbol,side,type,status,multiplier,time_in_force,asset.right,asset.strike,asset.multiplier,asset.expiration,asset.asset_type,price,filled_quantity,trade_cost
2024-06-17 09:30:00-04:00,BullishCallSpread,f7b5158c949d4809b60a086cb34b45ab,GLD,buy,market,new,1,gtc,CALL,215,100,2024-07-19,option,,,
2024-06-17 09:30:00-04:00,BullishCallSpread,7e928121cd1c44deb16032bf71c18038,GLD,sell,market,new,1,gtc,CALL,220,100,2024-07-19,option,,,
2024-06-17 09:30:00-04:00,BullishCallSpread,f7b5158c949d4809b60a086cb34b45ab,GLD,buy,market,fill,100,gtc,CALL,215,100,2024-07-19,option,4.13,10.0,0.0
2024-06-17 09:30:00-04:00,BullishCallSpread,7e928121cd1c44deb16032bf71c18038,GLD,sell,market,fill,100,gtc,CALL,220,100,2024-07-19,option,2.1,10.0,0.0
2024-07-19 16:00:00-04:00,BullishCallSpread,ec7dee2d59d94a13bad8043405f58f90,GLD,sell,cash_settled,cash_settled,100,gtc,CALL,215,100,2024-07-19,option,6.72999999999999,10.0,
2024-07-19 16:00:00-04:00,BullishCallSpread,19798ce8f85746fab4c95088676f08ed,GLD,buy,cash_settled,cash_settled,100,gtc,CALL,220,100,2024-07-19,option,1.7299999999999898,10.0,
2024-07-22 09:30:00-04:00,BullishCallSpread,c42f21d96b244facbb38acd7dc8b0612,GLD,buy,market,new,1,gtc,CALL,220,100,2024-08-16,option,,,
2024-07-22 09:30:00-04:00,BullishCallSpread,b4d73e11d0f649f48dcd6aafa95d6f70,GLD,sell,market,new,1,gtc,CALL,225,100,2024-08-16,option,,,
2024-07-22 09:30:00-04:00,BullishCallSpread,c42f21d96b244facbb38acd7dc8b0612,GLD,buy,market,fill,100,gtc,CALL,220,100,2024-08-16,option,4.85,10.0,0.0
2024-07-22 09:30:00-04:00,BullishCallSpread,b4d73e11d0f649f48dcd6aafa95d6f70,GLD,sell,market,fill,100,gtc,CALL,225,100,2024-08-16,option,2.58,10.0,0.0
2024-08-16 16:00:00-04:00,BullishCallSpread,e729e870275941a2a56b16ae74a8eff8,GLD,sell,cash_settled,cash_settled,100,gtc,CALL,220,100,2024-08-16,option,11.990000000000009,10.0,
2024-08-16 16:00:00-04:00,BullishCallSpread,86f5db4f1c094d6c879aa504dc8a41a8,GLD,buy,cash_settled,cash_settled,100,gtc,CALL,225,100,2024-08-16,option,6.990000000000009,10.0,
2024-08-19 09:30:00-04:00,BullishCallSpread,b4c29c935c354f69b3f5b3e4d77a8847,GLD,buy,market,new,1,gtc,CALL,230,100,2024-09-20,option,,,
2024-08-19 09:30:00-04:00,BullishCallSpread,d1d26927355a46a99fdb55f2610d7ae5,GLD,sell,market,new,1,gtc,CALL,235,100,2024-09-20,option,,,
2024-08-19 09:30:00-04:00,BullishCallSpread,b4c29c935c354f69b3f5b3e4d77a8847,GLD,buy,market,fill,100,gtc,CALL,230,100,2024-09-20,option,5.42,10.0,0.0
2024-08-19 09:30:00-04:00,BullishCallSpread,d1d26927355a46a99fdb55f2610d7ae5,GLD,sell,market,fill,100,gtc,CALL,235,100,2024-09-20,option,3.35,10.0,0.0
2024-09-20 16:00:00-04:00,BullishCallSpread,ae44507a900d41d09dbcd4f22917ef13,GLD,sell,cash_settled,cash_settled,100,gtc,CALL,230,100,2024-09-20,option,12.210000000000006,10.0,
2024-09-20 16:00:00-04:00,BullishCallSpread,63b5452157a2407a8541fdde480a8d21,GLD,buy,cash_settled,cash_settled,100,gtc,CALL,235,100,2024-09-20,option,7.210000000000008,10.0,
2024-09-23 09:30:00-04:00,BullishCallSpread,82d88db86a91463b81ac4d9303f0ae35,GLD,buy,market,new,1,gtc,CALL,245,100,2024-10-18,option,,,
2024-09-23 09:30:00-04:00,BullishCallSpread,f1d3f205204549659de87b15124b5b19,GLD,sell,market,new,1,gtc,CALL,250,100,2024-10-18,option,,,
2024-09-23 09:30:00-04:00,BullishCallSpread,82d88db86a91463b81ac4d9303f0ae35,GLD,buy,market,fill,100,gtc,CALL,245,100,2024-10-18,option,3.55,10.0,0.0
2024-09-23 09:30:00-04:00,BullishCallSpread,f1d3f205204549659de87b15124b5b19,GLD,sell,market,fill,100,gtc,CALL,250,100,2024-10-18,option,1.94,10.0,0.0
2024-10-18 16:00:00-04:00,BullishCallSpread,0ad9d84c51274c1d8ed227f762d323a9,GLD,sell,cash_settled,cash_settled,100,gtc,CALL,245,100,2024-10-18,option,6.240000000000009,10.0,
2024-10-18 16:00:00-04:00,BullishCallSpread,2da68bc7db654d6ea63e1ecbe0d6d45a,GLD,buy,cash_settled,cash_settled,100,gtc,CALL,250,100,2024-10-18,option,1.240000000000009,10.0,
2024-10-21 09:30:00-04:00,BullishCallSpread,002cc656ece148e78b4891e36eb0a0d2,GLD,buy,market,new,1,gtc,CALL,255,100,2024-11-15,option,,,
2024-10-21 09:30:00-04:00,BullishCallSpread,647358c9bd1b4f99857cc5a76824d452,GLD,sell,market,new,1,gtc,CALL,260,100,2024-11-15,option,,,
2024-10-21 09:30:00-04:00,BullishCallSpread,002cc656ece148e78b4891e36eb0a0d2,GLD,buy,market,fill,100,gtc,CALL,255,100,2024-11-15,option,3.95,10.0,0.0
2024-10-21 09:30:00-04:00,BullishCallSpread,647358c9bd1b4f99857cc5a76824d452,GLD,sell,market,fill,100,gtc,CALL,260,100,2024-11-15,option,2.14,10.0,0.0
2024-11-15 16:00:00-05:00,BullishCallSpread,a545f6470a704b1c907ffab764417f96,GLD,sell,cash_settled,cash_settled,100,gtc,CALL,255,100,2024-11-15,option,0.0,10.0,
2024-11-15 16:00:00-05:00,BullishCallSpread,4c10180200bb41aa90fe31c866c2da6e,GLD,buy,cash_settled,cash_settled,100,gtc,CALL,260,100,2024-11-15,option,0.0,10.0,
2024-11-18 09:30:00-05:00,BullishCallSpread,cfbe33d5e21f420cb924f2ab1ca9d917,GLD,buy,market,new,1,gtc,CALL,240,100,2024-12-20,option,,,
2024-11-18 09:30:00-05:00,BullishCallSpread,aa18b874daf0436fb3d62b21fcfd0216,GLD,sell,market,new,1,gtc,CALL,245,100,2024-12-20,option,,,
2024-11-18 09:30:00-05:00,BullishCallSpread,cfbe33d5e21f420cb924f2ab1ca9d917,GLD,buy,market,fill,100,gtc,CALL,240,100,2024-12-20,option,5.2,10.0,0.0
2024-11-18 09:30:00-05:00,BullishCallSpread,aa18b874daf0436fb3d62b21fcfd0216,GLD,sell,market,fill,100,gtc,CALL,245,100,2024-12-20,option,2.96,10.0,0.0
2024-12-20 16:00:00-05:00,BullishCallSpread,e06d700f633b492fb9539f27cfce2216,GLD,sell,cash_settled,cash_settled,100,gtc,CALL,240,100,2024-12-20,option,2.1100000000000136,10.0,
2024-12-20 16:00:00-05:00,BullishCallSpread,c09da74db1a545cd84151622f88e1e7a,GLD,buy,cash_settled,cash_settled,100,gtc,CALL,245,100,2024-12-20,option,0.0,10.0,
2024-12-23 09:30:00-05:00,BullishCallSpread,afe6bc38b55c4073a53bb109cb1ffef5,GLD,buy,market,new,1,gtc,CALL,240,100,2025-01-17,option,,,
2024-12-23 09:30:00-05:00,BullishCallSpread,b96d811cd27544c4ab55a40a7c56392c,GLD,sell,market,new,1,gtc,CALL,245,100,2025-01-17,option,,,
2024-12-23 09:30:00-05:00,BullishCallSpread,afe6bc38b55c4073a53bb109cb1ffef5,GLD,buy,market,fill,100,gtc,CALL,240,100,2025-01-17,option,4.89,10.0,0.0
2024-12-23 09:30:00-05:00,BullishCallSpread,b96d811cd27544c4ab55a40a7c56392c,GLD,sell,market,fill,100,gtc,CALL,245,100,2025-01-17,option,2.43,10.0,0.0
