Metric,SPY,Strategy
Risk-Free Rate,4.18%,4.18%
Time in Market,70.0%,81.0%
,,
Total Return,9%,10%
CAGR% (Annual Return),17.02%,19.42%
,,
Sharpe,0.92,1.23
RoMaD,1.98,4.73
Corr to Benchmark,1.0,-0.02
Prob. Sharpe Ratio,61.89%,71.13%
Smart Sharpe,0.84,1.12
Sortino,1.32,1.75
Smart Sortino,1.21,1.6
Sortino/√2,0.93,1.24
Smart Sortino/√2,0.85,1.13
Omega,1.23,1.23
,,
Max Drawdown,-8.58%,-4.11%
Longest DD Days,63,41
Volatility (ann.),13.6%,11.57%
R^2,0.0,0.0
Information Ratio,0.01,0.01
Calmar,1.98,4.73
Skew,-0.14,-0.54
Kurtosis,3.54,4.29
,,
Expected Daily%,0.04%,0.05%
Expected Monthly%,1.19%,1.35%
Expected Yearly%,8.67%,9.84%
Daily Value-at-Risk,-1.13%,-0.95%
Expected Shortfall (cVaR),-1.13%,-0.95%
,,
MTD,-1.35%,-1.3%
3M,4.26%,0.49%
6M,8.76%,10.07%
YTD,8.67%,9.84%
1Y,8.67%,9.84%
3Y (ann.),17.02%,19.42%
5Y (ann.),17.02%,19.42%
10Y (ann.),17.02%,19.42%
All-time (ann.),17.02%,19.42%
,,
Best Day,3.03%,1.95%
Worst Day,-2.69%,-2.57%
Best Month,5.92%,3.69%
Worst Month,-1.35%,-1.3%
Best Year,8.67%,9.84%
Worst Year,8.67%,9.84%
,,
Avg. Drawdown,-1.46%,-1.52%
Avg. Drawdown Days,10,13
Recovery Factor,1.03,2.37
Ulcer Index,0.02,0.01
Serenity Index,0.37,1.17
,,
Avg. Up Month,1.7%,2.94%
Avg. Down Month,-0.91%,-0.77%
Win Days,107.13,111.21
Loss Days,86.87,82.79
Win Days%,55.22%,57.32%
Win Month%,57.14%,57.14%
Win Quarter%,66.67%,66.67%
Win Year%,100.0%,100.0%
,,
Beta,-,-0.02
Alpha,-,0.19
Correlation,-,-1.91%
Treynor Ratio,-,-349.11%
