Metric,GLD,Strategy
Risk-Free Rate,4.18%,4.18%
Time in Market,70.0%,81.0%
,,
Total Return,13%,10%
CAGR% (Annual Return),25.26%,19.42%
,,
Sharpe,1.23,1.23
RoMaD,3.14,4.73
Corr to Benchmark,1.0,0.25
Prob. Sharpe Ratio,68.91%,71.13%
Smart Sharpe,1.13,1.12
Sortino,1.78,1.75
Smart Sortino,1.63,1.6
Sortino/√2,1.26,1.24
Smart Sortino/√2,1.15,1.13
Omega,1.23,1.23
,,
Max Drawdown,-8.04%,-4.11%
Longest DD Days,59,41
Volatility (ann.),15.89%,11.57%
R^2,0.06,0.06
Information Ratio,-0.02,-0.02
Calmar,3.14,4.73
Skew,-0.43,-0.54
Kurtosis,2.4,4.29
,,
Expected Daily%,0.06%,0.05%
Expected Monthly%,1.72%,1.35%
Expected Yearly%,12.65%,9.84%
Daily Value-at-Risk,-1.3%,-0.95%
Expected Shortfall (cVaR),-1.3%,-0.95%
,,
MTD,-1.24%,-1.3%
3M,-1.41%,0.49%
6M,12.37%,10.07%
YTD,12.65%,9.84%
1Y,12.65%,9.84%
3Y (ann.),25.26%,19.42%
5Y (ann.),25.26%,19.42%
10Y (ann.),25.26%,19.42%
All-time (ann.),25.26%,19.42%
,,
Best Day,2.4%,1.95%
Worst Day,-3.48%,-2.57%
Best Month,5.26%,3.69%
Worst Month,-3.44%,-1.3%
Best Year,12.65%,9.84%
Worst Year,12.65%,9.84%
,,
Avg. Drawdown,-2.0%,-1.52%
Avg. Drawdown Days,12,13
Recovery Factor,1.56,2.37
Ulcer Index,0.03,0.01
Serenity Index,0.39,1.17
,,
Avg. Up Month,4.14%,3.04%
Avg. Down Month,-2.34%,-1.18%
Win Days,105.69,111.21
Loss Days,88.31,82.79
Win Days%,54.48%,57.32%
Win Month%,71.43%,57.14%
Win Quarter%,66.67%,66.67%
Win Year%,100.0%,100.0%
,,
Beta,-,0.18
Alpha,-,0.14
Correlation,-,24.95%
Treynor Ratio,-,31.15%
