time,strategy,identifier,symbol,side,type,status,multiplier,time_in_force,asset.right,asset.strike,asset.multiplier,asset.expiration,asset.asset_type,price,filled_quantity,trade_cost
2024-06-17 09:30:00-04:00,BullishCallSpread,643677c28ec24e7db3a69910c35492ed,GLD,buy,market,new,1,gtc,CALL,215,100,2024-07-19,option,,,
2024-06-17 09:30:00-04:00,BullishCallSpread,70bad57fbd134fdc83864c35b2da5d80,GLD,sell,market,new,1,gtc,CALL,220,100,2024-07-19,option,,,
2024-06-17 09:30:00-04:00,BullishCallSpread,643677c28ec24e7db3a69910c35492ed,GLD,buy,market,fill,100,gtc,CALL,215,100,2024-07-19,option,4.13,10.0,0.0
2024-06-17 09:30:00-04:00,BullishCallSpread,70bad57fbd134fdc83864c35b2da5d80,GLD,sell,market,fill,100,gtc,CALL,220,100,2024-07-19,option,2.1,10.0,0.0
2024-07-19 16:00:00-04:00,BullishCallSpread,53c4372fe5864766b5dec11ddc8a059a,GLD,sell,cash_settled,cash_settled,100,gtc,CALL,215,100,2024-07-19,option,6.72999999999999,10.0,
2024-07-19 16:00:00-04:00,BullishCallSpread,c110ac0b89374e09b32f8dd8f7424651,GLD,buy,cash_settled,cash_settled,100,gtc,CALL,220,100,2024-07-19,option,1.7299999999999898,10.0,
2024-07-22 09:30:00-04:00,BullishCallSpread,22f6a26de87c455c86f16bd7ebc2da38,GLD,buy,market,new,1,gtc,CALL,220,100,2024-08-16,option,,,
2024-07-22 09:30:00-04:00,BullishCallSpread,9dae2b14a9ac4b6491c61b8521f6e311,GLD,sell,market,new,1,gtc,CALL,225,100,2024-08-16,option,,,
2024-07-22 09:30:00-04:00,BullishCallSpread,22f6a26de87c455c86f16bd7ebc2da38,GLD,buy,market,fill,100,gtc,CALL,220,100,2024-08-16,option,4.85,10.0,0.0
2024-07-22 09:30:00-04:00,BullishCallSpread,9dae2b14a9ac4b6491c61b8521f6e311,GLD,sell,market,fill,100,gtc,CALL,225,100,2024-08-16,option,2.58,10.0,0.0
2024-08-16 16:00:00-04:00,BullishCallSpread,aa56c45569104fafa39d7c5d374a8a9d,GLD,sell,cash_settled,cash_settled,100,gtc,CALL,220,100,2024-08-16,option,11.990000000000009,10.0,
2024-08-16 16:00:00-04:00,BullishCallSpread,37073434924549c3ba60f4d431fe258e,GLD,buy,cash_settled,cash_settled,100,gtc,CALL,225,100,2024-08-16,option,6.990000000000009,10.0,
2024-08-19 09:30:00-04:00,BullishCallSpread,351947787ad84601b6b9af90e5c9c5ea,GLD,buy,market,new,1,gtc,CALL,230,100,2024-09-20,option,,,
