Metric,SPY,Strategy
Risk-Free Rate,5.21%,5.21%
Time in Market,69.0%,68.0%
,,
Total Return,12%,-3%
CAGR% (Annual Return),22.87%,-5.9%
,,
Sharpe,1.41,-0.01
RoMaD,2.29,-0.13
Corr to Benchmark,1.0,-0.28
Prob. Sharpe Ratio,73.94%,25.15%
Smart Sharpe,1.16,-0.01
Sortino,2.1,-0.02
Smart Sortino,1.73,-0.01
Sortino/√2,1.48,-0.01
Smart Sortino/√2,1.22,-0.01
Omega,1.0,1.0
,,
Max Drawdown,-9.97%,-43.83%
Longest DD Days,121,100
Volatility (ann.),11.42%,45.14%
R^2,0.08,0.08
Information Ratio,-0.02,-0.02
Calmar,2.29,-0.13
Skew,-0.04,-2.17
Kurtosis,1.27,17.38
,,
Expected Daily%,0.06%,-0.02%
Expected Monthly%,1.67%,-0.49%
Expected Yearly%,12.32%,-3.37%
Daily Value-at-Risk,-0.93%,-3.87%
Expected Shortfall (cVaR),-0.93%,-3.87%
,,
MTD,4.57%,28.22%
3M,11.64%,-8.21%
6M,9.33%,-3.48%
YTD,12.32%,-3.37%
1Y,12.32%,-3.37%
3Y (ann.),22.87%,-5.9%
5Y (ann.),22.87%,-5.9%
10Y (ann.),22.87%,-5.9%
All-time (ann.),22.87%,-5.9%
,,
Best Day,1.94%,8.88%
Worst Day,-1.65%,-17.59%
Best Month,9.13%,28.22%
Worst Month,-4.73%,-36.59%
Best Year,12.32%,-3.37%
Worst Year,12.32%,-3.37%
,,
Avg. Drawdown,-1.75%,-10.6%
Avg. Drawdown Days,16,26
Recovery Factor,1.2,0.06
Ulcer Index,0.04,0.17
Serenity Index,0.17,-0.01
,,
Avg. Up Month,4.57%,28.22%
Avg. Down Month,-1.63%,-4.41%
Win Days,119.54,116.81
Loss Days,87.46,90.19
Win Days%,57.75%,56.43%
Win Month%,57.14%,42.86%
Win Quarter%,66.67%,33.33%
Win Year%,100.0%,0.0%
,,
Beta,-,-1.11
Alpha,-,0.28
Correlation,-,-28.03%
Treynor Ratio,-,7.75%
