time,strategy,identifier,symbol,side,type,status,multiplier,time_in_force,asset.strike,asset.multiplier,asset.asset_type,price,filled_quantity,trade_cost
2023-06-06 09:30:00-04:00,MLTrader,d290d97b30d84561880302aa651df2a7,SPY,buy,market,new,1,gtc,0.0,1,stock,,,
2023-06-06 09:30:00-04:00,MLTrader,d290d97b30d84561880302aa651df2a7,SPY,buy,market,fill,1,gtc,0.0,1,stock,426.6700134277344,117.0,0.0
2023-06-12 09:30:00-04:00,MLTrader,ef5ac5c4e5a14628976120cf56c35f47,SPY,sell,stop,canceled,1,day,0.0,1,stock,,,
2023-06-12 09:30:00-04:00,MLTrader,ed4a8fe3fbb0454080075078e0ead3c3,SPY,sell,limit,canceled,1,day,0.0,1,stock,,,
2023-06-12 09:30:00-04:00,MLTrader,87fd2f0cefc74857a31c95453a550a7e,SPY,sell,market,new,1,day,0.0,1,stock,,,
2023-06-12 09:30:00-04:00,MLTrader,074dd42319df41f2b4336655c552b896,SPY,sell,market,new,1,gtc,0.0,1,stock,,,
2023-06-12 09:30:00-04:00,MLTrader,87fd2f0cefc74857a31c95453a550a7e,SPY,sell,market,fill,1,day,0.0,1,stock,430.9200134277344,117.0,0.0
2023-06-12 09:30:00-04:00,MLTrader,074dd42319df41f2b4336655c552b896,SPY,sell,market,fill,1,gtc,0.0,1,stock,430.9200134277344,58.0,0.0
2023-06-29 09:30:00-04:00,MLTrader,ef07e7127ded40e698db92bd56ea0fd3,SPY,sell,market,new,1,gtc,0.0,1,stock,,,
2023-06-29 09:30:00-04:00,MLTrader,ef07e7127ded40e698db92bd56ea0fd3,SPY,sell,market,fill,1,gtc,0.0,1,stock,435.9599914550781,144.0,0.0
2023-07-18 09:30:00-04:00,MLTrader,359310e491bd4e1cab666a7108bb993b,SPY,buy,limit,canceled,1,day,0.0,1,stock,,,
2023-07-18 09:30:00-04:00,MLTrader,336c301fce05438a98e2a1faadbf5ef0,SPY,buy,stop,fill,1,day,0.0,1,stock,452.46601409912114,58.0,0.0
2023-07-27 09:30:00-04:00,MLTrader,79dc307b924747d89f7d7f10ed017b62,SPY,buy,limit,canceled,1,day,0.0,1,stock,,,
2023-07-27 09:30:00-04:00,MLTrader,ec3ca33d9c0948a7b099bfa38628defe,SPY,buy,stop,fill,1,day,0.0,1,stock,459.0199890136719,144.0,0.0
2023-08-01 09:30:00-04:00,MLTrader,8a8d870a201c4adebaa3ae4fd9429552,SPY,sell,market,new,1,gtc,0.0,1,stock,,,
2023-08-01 09:30:00-04:00,MLTrader,8a8d870a201c4adebaa3ae4fd9429552,SPY,sell,market,fill,1,gtc,0.0,1,stock,456.2699890136719,105.0,0.0
2023-08-11 09:30:00-04:00,MLTrader,ac5b6a2582014b0d93cb8f64b3790789,SPY,sell,market,new,1,gtc,0.0,1,stock,,,
2023-08-11 09:30:00-04:00,MLTrader,ac5b6a2582014b0d93cb8f64b3790789,SPY,sell,market,fill,1,gtc,0.0,1,stock,443.9700012207031,162.0,0.0
2023-08-21 09:30:00-04:00,MLTrader,f19da396a59b43839113aef3d842c0ef,SPY,sell,market,new,1,gtc,0.0,1,stock,,,
2023-08-21 09:30:00-04:00,MLTrader,f19da396a59b43839113aef3d842c0ef,SPY,sell,market,fill,1,gtc,0.0,1,stock,437.54998779296875,246.0,0.0
2023-09-08 09:30:00-04:00,MLTrader,ade1a39667e94283ae72a902ee7db6d0,SPY,sell,market,new,1,gtc,0.0,1,stock,,,
2023-09-08 09:30:00-04:00,MLTrader,ade1a39667e94283ae72a902ee7db6d0,SPY,sell,market,fill,1,gtc,0.0,1,stock,444.8999938964844,363.0,0.0
2023-11-02 09:30:00-04:00,MLTrader,37d124f51b374fea85ae8572d3898ed2,SPY,sell,market,new,1,gtc,0.0,1,stock,,,
2023-11-02 09:30:00-04:00,MLTrader,37d124f51b374fea85ae8572d3898ed2,SPY,sell,market,fill,1,gtc,0.0,1,stock,426.5799865722656,567.0,0.0
2023-11-13 09:30:00-05:00,MLTrader,cd3d3a076f204e72ae873ca8fb5f1cc4,SPY,sell,market,new,1,gtc,0.0,1,stock,,,
2023-11-13 09:30:00-05:00,MLTrader,cd3d3a076f204e72ae873ca8fb5f1cc4,SPY,sell,market,fill,1,gtc,0.0,1,stock,439.2300109863281,826.0,0.0
2023-11-14 09:30:00-05:00,MLTrader,cb0c2a58dee641de8a14de4d07e03698,SPY,buy,limit,canceled,1,day,0.0,1,stock,,,
2023-11-14 09:30:00-05:00,MLTrader,e2e5dcbde5aa42deab88463a0f38a590,SPY,buy,stop,fill,1,day,0.0,1,stock,447.9089859008789,567.0,0.0
2023-11-16 09:30:00-05:00,MLTrader,9018b6026efe4884b0b2a667944953ef,SPY,buy,stop,canceled,1,day,0.0,1,stock,,,
2023-11-16 09:30:00-05:00,MLTrader,30301b23f970493095e909e89e3e5ae6,SPY,buy,limit,canceled,1,day,0.0,1,stock,,,
2023-11-16 09:30:00-05:00,MLTrader,453c9feb7fee49f69e3e6ecdcb6f39da,SPY,buy,stop,canceled,1,day,0.0,1,stock,,,
2023-11-16 09:30:00-05:00,MLTrader,c089314ebea541e1be1c4ff009ed8700,SPY,buy,limit,canceled,1,day,0.0,1,stock,,,
2023-11-16 09:30:00-05:00,MLTrader,f4085ccfdf4b4c66b3503e2db98795f6,SPY,buy,stop,canceled,1,day,0.0,1,stock,,,
2023-11-16 09:30:00-05:00,MLTrader,dea08a55b2ad44b2ac6431d26383024d,SPY,buy,limit,canceled,1,day,0.0,1,stock,,,
2023-11-16 09:30:00-05:00,MLTrader,ad802787f84e4d69b8947f8215b4d50e,SPY,buy,stop,canceled,1,day,0.0,1,stock,,,
2023-11-16 09:30:00-05:00,MLTrader,99c6659ff73848ad86a6fcb5383fc225,SPY,buy,limit,canceled,1,day,0.0,1,stock,,,
2023-11-16 09:30:00-05:00,MLTrader,e144cd68bf7f4a459ee09b05fc949330,SPY,buy,stop,canceled,1,day,0.0,1,stock,,,
2023-11-16 09:30:00-05:00,MLTrader,1ed5d0a720794cb99d2269097afd453e,SPY,buy,limit,canceled,1,day,0.0,1,stock,,,
2023-11-16 09:30:00-05:00,MLTrader,7dcc47b1037d4e2fbf3adc113e95b22c,SPY,buy,market,new,1,day,0.0,1,stock,,,
2023-11-16 09:30:00-05:00,MLTrader,74680a4301e443a387a7944ad43208af,SPY,buy,market,new,1,gtc,0.0,1,stock,,,
2023-11-16 09:30:00-05:00,MLTrader,7dcc47b1037d4e2fbf3adc113e95b22c,SPY,buy,market,fill,1,day,0.0,1,stock,449.2200012207031,1702.0,0.0
2023-11-16 09:30:00-05:00,MLTrader,74680a4301e443a387a7944ad43208af,SPY,buy,market,fill,1,gtc,0.0,1,stock,449.2200012207031,928.0,0.0
