Metric,SPY,Strategy
Risk-Free Rate,5.21%,5.21%
Time in Market,69.0%,55.0%
,,
Total Return,24%,-8%
CAGR% (Annual Return),25.85%,-8.57%
,,
Sharpe,1.45,-0.22
RoMaD,2.59,-0.2
Corr to Benchmark,1.0,-0.21
Prob. Sharpe Ratio,79.47%,14.85%
Smart Sharpe,1.19,-0.18
Sortino,2.21,-0.27
Smart Sortino,1.82,-0.23
Sortino/√2,1.56,-0.19
Smart Sortino/√2,1.29,-0.16
Omega,0.95,0.95
,,
Max Drawdown,-9.97%,-43.86%
Longest DD Days,121,245
Volatility (ann.),12.91%,35.09%
R^2,0.04,0.04
Information Ratio,-0.03,-0.03
Calmar,2.59,-0.2
Skew,0.06,-2.73
Kurtosis,1.03,30.09
,,
Expected Daily%,0.06%,-0.02%
Expected Monthly%,1.82%,-0.7%
Expected Yearly%,24.19%,-8.1%
Daily Value-at-Risk,-1.05%,-3.03%
Expected Shortfall (cVaR),-1.05%,-3.03%
,,
MTD,4.57%,28.28%
3M,11.64%,-8.19%
6M,9.33%,-3.44%
YTD,24.19%,-8.1%
1Y,24.19%,-8.1%
3Y (ann.),25.85%,-8.57%
5Y (ann.),25.85%,-8.57%
10Y (ann.),25.85%,-8.57%
All-time (ann.),25.85%,-8.57%
,,
Best Day,1.99%,8.89%
Worst Day,-2.01%,-17.6%
Best Month,9.13%,28.28%
Worst Month,-4.73%,-36.61%
Best Year,24.19%,-8.1%
Worst Year,24.19%,-8.1%
,,
Avg. Drawdown,-1.78%,-12.99%
Avg. Drawdown Days,16,54
Recovery Factor,2.25,0.06
Ulcer Index,0.03,0.14
Serenity Index,0.57,-0.04
,,
Avg. Up Month,4.57%,28.28%
Avg. Down Month,-2.07%,-2.71%
Win Days,195.06,184.37
Loss Days,149.94,160.63
Win Days%,56.54%,53.44%
Win Month%,66.67%,27.27%
Win Quarter%,75.0%,25.0%
Win Year%,100.0%,0.0%
,,
Beta,-,-0.57
Alpha,-,0.11
Correlation,-,-20.9%
Treynor Ratio,-,23.43%
