time,strategy,identifier,symbol,side,type,status,multiplier,time_in_force,asset.strike,asset.multiplier,asset.asset_type,price,filled_quantity,trade_cost
2020-02-03 09:30:00-05:00,MLTrader,48f8cd2f077c426b9bd610d5d4518ab7,SPY,sell,market,new,1,gtc,0.0,1,stock,,,
2020-02-03 09:30:00-05:00,MLTrader,48f8cd2f077c426b9bd610d5d4518ab7,SPY,sell,market,fill,1,gtc,0.0,1,stock,323.3500061035156,155.0,0.0
2020-02-10 09:30:00-05:00,MLTrader,d284499fcd2e490e926d6013d1013a75,SPY,sell,market,new,1,gtc,0.0,1,stock,,,
2020-02-10 09:30:00-05:00,MLTrader,d284499fcd2e490e926d6013d1013a75,SPY,sell,market,fill,1,gtc,0.0,1,stock,331.2300109863281,227.0,0.0
2020-02-13 09:30:00-05:00,MLTrader,66fe53b9b0ca42928d032e95e05dc142,SPY,sell,market,new,1,gtc,0.0,1,stock,,,
2020-02-13 09:30:00-05:00,MLTrader,66fe53b9b0ca42928d032e95e05dc142,SPY,sell,market,fill,1,gtc,0.0,1,stock,335.8599853515625,335.0,0.0
2020-03-06 09:30:00-05:00,MLTrader,93801deb087e41138d2b42df38f40470,SPY,sell,market,new,1,gtc,0.0,1,stock,,,
2020-03-06 09:30:00-05:00,MLTrader,93801deb087e41138d2b42df38f40470,SPY,sell,market,fill,1,gtc,0.0,1,stock,293.1499938964844,576.0,0.0
2020-03-09 09:30:00-04:00,MLTrader,a0157aab3b4b48ecbcc1f3e65dee3806,SPY,sell,market,new,1,gtc,0.0,1,stock,,,
2020-03-09 09:30:00-04:00,MLTrader,a0157aab3b4b48ecbcc1f3e65dee3806,SPY,sell,market,fill,1,gtc,0.0,1,stock,275.29998779296875,920.0,0.0
2020-03-12 09:30:00-04:00,MLTrader,27ab2abe240341ff99f4b0d6578a6210,SPY,buy,stop,canceled,1,day,0.0,1,stock,,,
2020-03-12 09:30:00-04:00,MLTrader,fe69de4fc2f64ada958df0c016c8578d,SPY,buy,limit,fill,1,day,0.0,1,stock,256.0,155.0,0.0
2020-03-12 09:30:00-04:00,MLTrader,4fe43999b64f412e84f89b6c1339d50e,SPY,buy,stop,canceled,1,day,0.0,1,stock,,,
2020-03-12 09:30:00-04:00,MLTrader,aa4c9f267e1a45898695a5e8267c9e6a,SPY,buy,limit,fill,1,day,0.0,1,stock,256.0,227.0,0.0
2020-03-12 09:30:00-04:00,MLTrader,943ed2839e134652a7043d858e9d2178,SPY,buy,stop,canceled,1,day,0.0,1,stock,,,
2020-03-12 09:30:00-04:00,MLTrader,80bba8df223c45a58bee824069e47714,SPY,buy,limit,fill,1,day,0.0,1,stock,256.0,335.0,0.0
2020-03-18 09:30:00-04:00,MLTrader,f651ed086b6b490d9fb2b7dddd5f53d8,SPY,buy,stop,canceled,1,day,0.0,1,stock,,,
2020-03-18 09:30:00-04:00,MLTrader,af463a6c134f40b9810258247b327afb,SPY,buy,limit,fill,1,day,0.0,1,stock,234.5199951171875,576.0,0.0
2020-03-23 08:30:00-04:00,MLTrader,350aca70f19644ea98c54b7d78bf0d91,SPY,buy,stop,canceled,1,day,0.0,1,stock,,,
2020-03-23 08:30:00-04:00,MLTrader,f7135e6de0174bf8972a5336a7f35dc0,SPY,buy,limit,fill,1,day,0.0,1,stock,220.239990234375,920.0,0.0
2020-04-13 09:30:00-04:00,MLTrader,3b7a5d99c1b14610b1af9bf0acf5535a,SPY,sell,market,new,1,gtc,0.0,1,stock,,,
2020-04-13 09:30:00-04:00,MLTrader,3b7a5d99c1b14610b1af9bf0acf5535a,SPY,sell,market,fill,1,gtc,0.0,1,stock,277.1400146484375,428.0,0.0
2020-04-27 09:30:00-04:00,MLTrader,65bea4551d254ed8947519c044454314,SPY,buy,stop,canceled,1,day,0.0,1,stock,,,
2020-04-27 09:30:00-04:00,MLTrader,775633e5377f45559d82a01098f3a297,SPY,buy,limit,canceled,1,day,0.0,1,stock,,,
2020-04-27 09:30:00-04:00,MLTrader,98fa6e4ae54a4c45ac2ccff5e278745f,SPY,buy,market,new,1,day,0.0,1,stock,,,
2020-04-27 09:30:00-04:00,MLTrader,033d83cbfb3f4a99997f2c83dcbac933,SPY,buy,market,new,1,gtc,0.0,1,stock,,,
2020-04-27 09:30:00-04:00,MLTrader,98fa6e4ae54a4c45ac2ccff5e278745f,SPY,buy,market,fill,1,day,0.0,1,stock,285.1199951171875,428.0,0.0
2020-04-27 09:30:00-04:00,MLTrader,033d83cbfb3f4a99997f2c83dcbac933,SPY,buy,market,fill,1,gtc,0.0,1,stock,285.1199951171875,624.0,0.0
2020-06-15 09:30:00-04:00,MLTrader,d31ef710c8524769a8237b7a3f2ad5b5,SPY,sell,stop,canceled,1,day,0.0,1,stock,,,
2020-06-15 09:30:00-04:00,MLTrader,fecaa0d15e84493184391a40afa4a22d,SPY,sell,limit,canceled,1,day,0.0,1,stock,,,
2020-06-15 09:30:00-04:00,MLTrader,1319a4f0cdcc4c5a8a292a10d3b6e5cf,SPY,sell,market,new,1,day,0.0,1,stock,,,
2020-06-15 09:30:00-04:00,MLTrader,d81d413aaabc4c80b7612fdbc28c18ec,SPY,sell,market,new,1,gtc,0.0,1,stock,,,
2020-06-15 09:30:00-04:00,MLTrader,1319a4f0cdcc4c5a8a292a10d3b6e5cf,SPY,sell,market,fill,1,day,0.0,1,stock,298.0199890136719,624.0,0.0
2020-06-15 09:30:00-04:00,MLTrader,d81d413aaabc4c80b7612fdbc28c18ec,SPY,sell,market,fill,1,gtc,0.0,1,stock,298.0199890136719,94.0,0.0
2020-06-16 09:30:00-04:00,MLTrader,d03c417983ed49f1824edb4521f3a29e,SPY,buy,limit,canceled,1,day,0.0,1,stock,,,
2020-06-16 09:30:00-04:00,MLTrader,f71f74474aad441eb13e6063ae502ef6,SPY,buy,stop,fill,1,day,0.0,1,stock,315.4800109863281,94.0,0.0
