Metric,SPY,Strategy
Risk-Free Rate,4.41%,4.41%
Time in Market,70.0%,70.0%
,,
Total Return,16%,-3%
CAGR% (Annual Return),26.0%,-5.49%
,,
Sharpe,1.49,-1.22
RoMaD,3.09,-0.66
Corr to Benchmark,1.0,-0.19
Prob. Sharpe Ratio,77.43%,12.48%
Smart Sharpe,1.48,-1.21
Sortino,2.13,-2.0
Smart Sortino,2.12,-1.99
Sortino/√2,1.51,-1.42
Smart Sortino/√2,1.5,-1.41
Omega,0.81,0.81
,,
Max Drawdown,-8.41%,-8.3%
Longest DD Days,64,215
Volatility (ann.),13.14%,7.9%
R^2,0.04,0.04
Information Ratio,-0.09,-0.09
Calmar,3.09,-0.66
Skew,-0.44,2.18
Kurtosis,3.31,11.24
,,
Expected Daily%,0.06%,-0.02%
Expected Monthly%,1.82%,-0.44%
Expected Yearly%,15.53%,-3.46%
Daily Value-at-Risk,-1.07%,-0.69%
Expected Shortfall (cVaR),-1.07%,-0.69%
,,
MTD,4.73%,2.48%
3M,7.39%,0.91%
6M,13.11%,-2.39%
YTD,15.53%,-3.46%
1Y,15.53%,-3.46%
3Y (ann.),26.0%,-5.49%
5Y (ann.),26.0%,-5.49%
10Y (ann.),26.0%,-5.49%
All-time (ann.),26.0%,-5.49%
,,
Best Day,2.49%,2.54%
Worst Day,-2.91%,-1.01%
Best Month,5.06%,2.48%
Worst Month,-3.23%,-2.29%
Best Year,15.53%,-3.46%
Worst Year,15.53%,-3.46%
,,
Avg. Drawdown,-1.6%,-2.87%
Avg. Drawdown Days,12,74
Recovery Factor,1.78,0.4
Ulcer Index,0.02,0.05
Serenity Index,0.8,-0.08
,,
Avg. Up Month,4.73%,2.48%
Avg. Down Month,-0.89%,-0.57%
Win Days,141.69,93.03
Loss Days,87.31,135.97
Win Days%,61.88%,40.62%
Win Month%,75.0%,25.0%
Win Quarter%,100.0%,33.33%
Win Year%,100.0%,0.0%
,,
Beta,-,-0.12
Alpha,-,-0.03
Correlation,-,-19.23%
Treynor Ratio,-,68.07%
