Metric,GLD,Strategy
Risk-Free Rate,4.41%,4.41%
Time in Market,69.0%,69.0%
,,
Total Return,44%,-7%
CAGR% (Annual Return),22.41%,-4.07%
,,
Sharpe,1.2,-1.92
RoMaD,1.97,-0.36
Corr to Benchmark,1.0,-0.19
Prob. Sharpe Ratio,81.56%,0.84%
Smart Sharpe,1.17,-1.86
Sortino,1.82,-2.49
Smart Sortino,1.76,-2.41
Sortino/√2,1.29,-1.76
Smart Sortino/√2,1.25,-1.71
Omega,0.68,0.68
,,
Max Drawdown,-11.35%,-11.38%
Longest DD Days,210,637
Volatility (ann.),13.99%,4.37%
R^2,0.04,0.04
Information Ratio,-0.09,-0.09
Calmar,1.97,-0.36
Skew,0.03,-0.45
Kurtosis,2.92,9.35
,,
Expected Daily%,0.06%,-0.01%
Expected Monthly%,1.66%,-0.34%
Expected Yearly%,19.89%,-3.66%
Daily Value-at-Risk,-1.15%,-0.39%
Expected Shortfall (cVaR),-1.15%,-0.39%
,,
MTD,-1.45%,0.63%
3M,8.92%,2.07%
6M,13.51%,2.33%
YTD,31.0%,0.33%
1Y,35.37%,-0.04%
3Y (ann.),22.41%,-4.07%
5Y (ann.),22.41%,-4.07%
10Y (ann.),22.41%,-4.07%
All-time (ann.),22.41%,-4.07%
,,
Best Day,3.21%,1.32%
Worst Day,-3.57%,-1.35%
Best Month,9.78%,2.83%
Worst Month,-4.76%,-4.33%
Best Year,31.0%,0.33%
Worst Year,9.72%,-7.49%
,,
Avg. Drawdown,-2.55%,-4.09%
Avg. Drawdown Days,21,214
Recovery Factor,3.35,0.64
Ulcer Index,0.04,0.09
Serenity Index,0.94,-0.03
,,
Avg. Up Month,2.44%,1.27%
Avg. Down Month,-0.9%,-3.49%
Win Days,349.77,298.18
Loss Days,306.23,357.82
Win Days%,53.32%,45.45%
Win Month%,68.18%,40.91%
Win Quarter%,75.0%,25.0%
Win Year%,100.0%,50.0%
,,
Beta,-,-0.06
Alpha,-,-0.03
Correlation,-,-18.71%
Treynor Ratio,-,198.53%
