Metric,SPY,Strategy
Risk-Free Rate,4.41%,4.41%
Time in Market,69.0%,69.0%
,,
Total Return,49%,16%
CAGR% (Annual Return),24.87%,8.74%
,,
Sharpe,1.49,0.48
RoMaD,2.5,0.64
Corr to Benchmark,1.0,0.09
Prob. Sharpe Ratio,90.51%,54.99%
Smart Sharpe,1.46,0.47
Sortino,2.21,0.69
Smart Sortino,2.16,0.68
Sortino/√2,1.56,0.49
Smart Sortino/√2,1.53,0.48
Omega,1.08,1.08
,,
Max Drawdown,-9.97%,-13.63%
Longest DD Days,121,389
Volatility (ann.),12.56%,9.42%
R^2,0.01,0.01
Information Ratio,-0.05,-0.05
Calmar,2.5,0.64
Skew,-0.14,-0.06
Kurtosis,2.13,3.77
,,
Expected Daily%,0.06%,0.02%
Expected Monthly%,1.83%,0.69%
Expected Yearly%,22.05%,7.81%
Daily Value-at-Risk,-1.02%,-0.79%
Expected Shortfall (cVaR),-1.02%,-0.79%
,,
MTD,4.73%,0.27%
3M,7.39%,3.55%
6M,13.11%,6.28%
YTD,27.19%,20.08%
1Y,32.66%,23.09%
3Y (ann.),24.87%,8.74%
5Y (ann.),24.87%,8.74%
10Y (ann.),24.87%,8.74%
All-time (ann.),24.87%,8.74%
,,
Best Day,2.49%,2.13%
Worst Day,-2.91%,-2.64%
Best Month,9.13%,7.87%
Worst Month,-4.73%,-4.33%
Best Year,27.19%,20.08%
Worst Year,17.11%,-3.21%
,,
Avg. Drawdown,-1.61%,-2.91%
Avg. Drawdown Days,12,55
Recovery Factor,4.14,1.16
Ulcer Index,0.03,0.06
Serenity Index,1.74,0.09
,,
Avg. Up Month,3.99%,2.5%
Avg. Down Month,-2.42%,-1.71%
Win Days,378.8,336.0
Loss Days,277.2,320.0
Win Days%,57.74%,51.22%
Win Month%,72.73%,59.09%
Win Quarter%,87.5%,50.0%
Win Year%,100.0%,50.0%
,,
Beta,-,0.07
Alpha,-,0.07
Correlation,-,9.02%
Treynor Ratio,-,174.86%
