Metric,SPY,Strategy
Risk-Free Rate,4.41%,4.41%
Time in Market,70.0%,69.0%
,,
Total Return,34%,-20%
CAGR% (Annual Return),25.64%,-15.44%
,,
Sharpe,1.55,-2.18
RoMaD,2.96,-0.66
Corr to Benchmark,1.0,-0.41
Prob. Sharpe Ratio,88.35%,0.29%
Smart Sharpe,1.54,-2.16
Sortino,2.29,-3.03
Smart Sortino,2.27,-3.01
Sortino/√2,1.62,-2.14
Smart Sortino/√2,1.61,-2.12
Omega,0.68,0.68
,,
Max Drawdown,-8.65%,-23.28%
Longest DD Days,73,390
Volatility (ann.),12.37%,9.47%
R^2,0.17,0.17
Information Ratio,-0.11,-0.11
Calmar,2.96,-0.66
Skew,-0.22,1.05
Kurtosis,2.6,13.51
,,
Expected Daily%,0.06%,-0.05%
Expected Monthly%,1.87%,-1.35%
Expected Yearly%,15.94%,-10.3%
Daily Value-at-Risk,-1.0%,-0.86%
Expected Shortfall (cVaR),-1.0%,-0.86%
,,
MTD,4.73%,-3.12%
3M,7.39%,-5.52%
6M,13.11%,-10.57%
YTD,27.19%,-17.06%
1Y,32.66%,-18.83%
3Y (ann.),25.64%,-15.44%
5Y (ann.),25.64%,-15.44%
10Y (ann.),25.64%,-15.44%
All-time (ann.),25.64%,-15.44%
,,
Best Day,2.49%,3.87%
Worst Day,-2.91%,-3.15%
Best Month,9.13%,2.23%
Worst Month,-4.73%,-4.22%
Best Year,27.19%,-2.99%
Worst Year,5.68%,-17.06%
,,
Avg. Drawdown,-1.46%,-3.58%
Avg. Drawdown Days,11,56
Recovery Factor,3.54,0.91
Ulcer Index,0.02,0.12
Serenity Index,1.57,-0.05
,,
Avg. Up Month,-,-
Avg. Down Month,-0.49%,-0.6%
Win Days,277.46,201.49
Loss Days,196.54,272.51
Win Days%,58.54%,42.51%
Win Month%,68.75%,18.75%
Win Quarter%,83.33%,16.67%
Win Year%,100.0%,0.0%
,,
Beta,-,-0.31
Alpha,-,-0.09
Correlation,-,-41.07%
Treynor Ratio,-,76.2%
