Metric,SPY,Strategy
Risk-Free Rate,4.41%,4.41%
Time in Market,73.0%,73.0%
,,
Total Return,-0%,-0%
CAGR% (Annual Return),-8.16%,-14.14%
,,
Sharpe,-1.16,-3.36
RoMaD,-4.26,-13.44
Corr to Benchmark,1.0,0.54
Prob. Sharpe Ratio,39.43%,28.23%
Smart Sharpe,-1.09,-3.15
Sortino,-1.39,-4.26
Smart Sortino,-1.3,-3.99
Sortino/√2,-0.98,-3.01
Smart Sortino/√2,-0.92,-2.82
Omega,0.57,0.57
,,
Max Drawdown,-1.92%,-1.05%
Longest DD Days,10,10
Volatility (ann.),10.0%,5.36%
R^2,0.29,0.29
Information Ratio,-0.04,-0.04
Calmar,-4.26,-13.44
Skew,-1.62,-0.37
Kurtosis,2.78,1.91
,,
Expected Daily%,-0.02%,-0.04%
Expected Monthly%,-0.23%,-0.42%
Expected Yearly%,-0.23%,-0.42%
Daily Value-at-Risk,-0.88%,-0.5%
Expected Shortfall (cVaR),-0.88%,-0.5%
,,
MTD,-0.23%,-0.42%
3M,-0.23%,-0.42%
6M,-0.23%,-0.42%
YTD,-0.23%,-0.42%
1Y,-0.23%,-0.42%
3Y (ann.),-8.16%,-14.14%
5Y (ann.),-8.16%,-14.14%
10Y (ann.),-8.16%,-14.14%
All-time (ann.),-8.16%,-14.14%
,,
Best Day,0.54%,0.48%
Worst Day,-1.28%,-0.63%
Best Month,-0.23%,-0.42%
Worst Month,-0.23%,-0.42%
Best Year,-0.23%,-0.42%
Worst Year,-0.23%,-0.42%
,,
Avg. Drawdown,-1.92%,-1.05%
Avg. Drawdown Days,10,10
Recovery Factor,0.11,0.39
Ulcer Index,0.01,0.01
Serenity Index,-0.93,-1.86
,,
Avg. Up Month,-,-
Avg. Down Month,-0.23%,-0.42%
Win Days,8.25,4.12
Loss Days,2.75,6.88
Win Days%,75.0%,37.5%
Win Month%,0.0%,0.0%
Win Quarter%,0.0%,0.0%
Win Year%,0.0%,0.0%
,,
Beta,-,0.29
Alpha,-,-0.12
Correlation,-,53.8%
Treynor Ratio,-,-16.71%
