Metric,SPY,Strategy
Risk-Free Rate,4.18%,4.18%
Time in Market,69.0%,69.0%
,,
Total Return,16%,8%
CAGR% (Annual Return),26.34%,13.09%
,,
Sharpe,1.54,1.24
RoMaD,3.13,2.78
Corr to Benchmark,1.0,0.41
Prob. Sharpe Ratio,79.28%,78.44%
Smart Sharpe,1.49,1.2
Sortino,2.16,1.69
Smart Sortino,2.08,1.63
Sortino/√2,1.53,1.2
Smart Sortino/√2,1.47,1.15
Omega,1.25,1.25
,,
Max Drawdown,-8.41%,-4.71%
Longest DD Days,64,39
Volatility (ann.),12.98%,6.74%
R^2,0.17,0.17
Information Ratio,-0.05,-0.05
Calmar,3.13,2.78
Skew,-0.73,-1.25
Kurtosis,4.86,11.1
,,
Expected Daily%,0.06%,0.03%
Expected Monthly%,1.89%,0.99%
Expected Yearly%,16.17%,8.2%
Daily Value-at-Risk,-1.05%,-0.55%
Expected Shortfall (cVaR),-1.05%,-0.55%
,,
MTD,-0.93%,-0.01%
3M,4.46%,2.37%
6M,9.6%,5.22%
YTD,16.17%,8.2%
1Y,16.17%,8.2%
3Y (ann.),26.34%,13.09%
5Y (ann.),26.34%,13.09%
10Y (ann.),26.34%,13.09%
All-time (ann.),26.34%,13.09%
,,
Best Day,2.49%,1.68%
Worst Day,-2.98%,-2.27%
Best Month,5.96%,2.27%
Worst Month,-0.93%,-0.01%
Best Year,16.17%,8.2%
Worst Year,16.17%,8.2%
,,
Avg. Drawdown,-1.38%,-0.85%
Avg. Drawdown Days,10,10
Recovery Factor,1.85,1.71
Ulcer Index,0.02,0.01
Serenity Index,1.0,0.72
,,
Avg. Up Month,2.85%,1.25%
Avg. Down Month,-0.93%,-0.01%
Win Days,147.96,136.36
Loss Days,87.04,98.64
Win Days%,62.96%,58.02%
Win Month%,75.0%,87.5%
Win Quarter%,100.0%,100.0%
Win Year%,100.0%,100.0%
,,
Beta,-,0.21
Alpha,-,0.07
Correlation,-,40.72%
Treynor Ratio,-,19.02%
