Metric,NVDA,Strategy
Risk-Free Rate,4.18%,4.18%
Time in Market,70.0%,70.0%
,,
Total Return,13%,9%
CAGR% (Annual Return),62.74%,42.0%
,,
Sharpe,1.38,1.55
RoMaD,4.68,5.51
Corr to Benchmark,1.0,0.29
Prob. Sharpe Ratio,63.74%,68.51%
Smart Sharpe,1.37,1.54
Sortino,2.08,2.43
Smart Sortino,2.07,2.41
Sortino/√2,1.47,1.72
Smart Sortino/√2,1.46,1.71
Omega,1.26,1.26
,,
Max Drawdown,-13.41%,-7.62%
Longest DD Days,51,37
Volatility (ann.),36.8%,21.2%
R^2,0.09,0.09
Information Ratio,-0.03,-0.03
Calmar,4.68,5.51
Skew,-0.02,0.13
Kurtosis,0.46,-0.02
,,
Expected Daily%,0.13%,0.1%
Expected Monthly%,3.18%,2.28%
Expected Yearly%,13.36%,9.45%
Daily Value-at-Risk,-3.02%,-1.72%
Expected Shortfall (cVaR),-3.02%,-1.72%
,,
MTD,-0.89%,0.7%
3M,12.87%,6.06%
6M,13.36%,9.45%
YTD,13.36%,9.45%
1Y,13.36%,9.45%
3Y (ann.),62.74%,42.0%
5Y (ann.),62.74%,42.0%
10Y (ann.),62.74%,42.0%
All-time (ann.),62.74%,42.0%
,,
Best Day,4.89%,2.63%
Worst Day,-4.72%,-2.35%
Best Month,9.32%,8.21%
Worst Month,-0.89%,-0.32%
Best Year,13.36%,9.45%
Worst Year,13.36%,9.45%
,,
Avg. Drawdown,-5.26%,-2.57%
Avg. Drawdown Days,14,9
Recovery Factor,1.07,1.26
Ulcer Index,0.06,0.03
Serenity Index,0.35,0.34
,,
Avg. Up Month,4.9%,4.49%
Avg. Down Month,-,-
Win Days,51.82,47.5
Loss Days,43.18,47.5
Win Days%,54.55%,50.0%
Win Month%,75.0%,75.0%
Win Quarter%,100.0%,100.0%
Win Year%,100.0%,100.0%
,,
Beta,-,0.17
Alpha,-,0.28
Correlation,-,29.36%
Treynor Ratio,-,31.15%
