Metric,GLD,Strategy
Risk-Free Rate,4.18%,4.18%
Time in Market,69.0%,69.0%
,,
Total Return,51%,16%
CAGR% (Annual Return),21.42%,7.12%
,,
Sharpe,1.14,0.66
RoMaD,1.89,1.9
Corr to Benchmark,1.0,0.54
Prob. Sharpe Ratio,82.03%,87.83%
Smart Sharpe,1.13,0.66
Sortino,1.7,0.97
Smart Sortino,1.68,0.96
Sortino/√2,1.2,0.68
Smart Sortino/√2,1.19,0.68
Omega,1.12,1.12
,,
Max Drawdown,-11.35%,-3.75%
Longest DD Days,210,252
Volatility (ann.),14.3%,4.32%
R^2,0.29,0.29
Information Ratio,-0.06,-0.06
Calmar,1.89,1.9
Skew,-0.03,-0.2
Kurtosis,2.92,10.51
,,
Expected Daily%,0.05%,0.02%
Expected Monthly%,1.61%,0.57%
Expected Yearly%,14.83%,5.02%
Daily Value-at-Risk,-1.17%,-0.35%
Expected Shortfall (cVaR),-1.17%,-0.35%
,,
MTD,-1.71%,-0.49%
3M,-1.48%,-0.62%
6M,12.28%,3.33%
YTD,26.57%,6.45%
1Y,25.34%,6.4%
3Y (ann.),21.42%,7.12%
5Y (ann.),21.42%,7.12%
10Y (ann.),21.42%,7.12%
All-time (ann.),21.42%,7.12%
,,
Best Day,3.21%,1.44%
Worst Day,-3.57%,-1.82%
Best Month,9.78%,3.55%
Worst Month,-5.37%,-2.99%
Best Year,26.57%,6.45%
Worst Year,6.39%,4.25%
,,
Avg. Drawdown,-2.38%,-0.88%
Avg. Drawdown Days,20,28
Recovery Factor,3.85,3.97
Ulcer Index,0.04,0.01
Serenity Index,1.09,1.07
,,
Avg. Up Month,3.76%,1.32%
Avg. Down Month,-2.57%,-0.9%
Win Days,423.35,435.84
Loss Days,357.65,345.16
Win Days%,54.21%,55.81%
Win Month%,69.23%,65.38%
Win Quarter%,66.67%,66.67%
Win Year%,100.0%,100.0%
,,
Beta,-,0.16
Alpha,-,0.04
Correlation,-,54.3%
Treynor Ratio,-,70.96%
