Metric,SPY,Strategy
Risk-Free Rate,5.25%,5.25%
Time in Market,69.0%,51.0%
,,
Total Return,9%,-2%
CAGR% (Annual Return),3.81%,-1.05%
,,
Sharpe,0.02,0.21
RoMaD,0.16,-0.02
Corr to Benchmark,1.0,-0.15
Prob. Sharpe Ratio,13.81%,13.15%
Smart Sharpe,0.02,0.2
Sortino,0.03,0.35
Smart Sortino,0.03,0.34
Sortino/√2,0.02,0.25
Smart Sortino/√2,0.02,0.24
Omega,1.06,1.06
,,
Max Drawdown,-24.49%,-66.06%
Longest DD Days,689,523
Volatility (ann.),18.72%,64.15%
R^2,0.02,0.02
Information Ratio,0.01,0.01
Calmar,0.16,-0.02
Skew,-0.09,2.83
Kurtosis,3.36,30.32
,,
Expected Daily%,0.01%,-0.0%
Expected Monthly%,0.3%,-0.09%
Expected Yearly%,2.97%,-0.82%
Daily Value-at-Risk,-1.6%,-5.47%
Expected Shortfall (cVaR),-1.6%,-5.47%
,,
MTD,8.8%,-37.01%
3M,4.23%,-22.78%
6M,9.45%,-25.88%
YTD,20.33%,-28.8%
1Y,15.62%,-28.8%
3Y (ann.),3.81%,-1.05%
5Y (ann.),3.81%,-1.05%
10Y (ann.),3.81%,-1.05%
All-time (ann.),3.81%,-1.05%
,,
Best Day,5.5%,32.28%
Worst Day,-4.35%,-17.61%
Best Month,8.89%,82.57%
Worst Month,-9.24%,-37.01%
Best Year,20.33%,40.76%
Worst Year,-18.16%,-28.8%
,,
Avg. Drawdown,-2.69%,-20.0%
Avg. Drawdown Days,50,93
Recovery Factor,0.53,0.66
Ulcer Index,0.12,0.36
Serenity Index,0.03,0.06
,,
Avg. Up Month,4.56%,12.13%
Avg. Down Month,-4.29%,-10.35%
Win Days,437.49,421.51
Loss Days,421.51,437.49
Win Days%,50.93%,49.07%
Win Month%,55.17%,37.5%
Win Quarter%,50.0%,20.0%
Win Year%,66.67%,33.33%
,,
Beta,-,-0.51
Alpha,-,0.21
Correlation,-,-14.94%
Treynor Ratio,-,15.05%
