Metric,SPY,Strategy
Risk-Free Rate,5.21%,5.21%
Time in Market,69.0%,69.0%
,,
Total Return,56%,54%
CAGR% (Annual Return),11.8%,11.57%
,,
Sharpe,0.38,0.38
RoMaD,0.35,0.36
Corr to Benchmark,1.0,0.44
Prob. Sharpe Ratio,22.09%,23.44%
Smart Sharpe,0.37,0.37
Sortino,0.53,0.52
Smart Sortino,0.51,0.5
Sortino/√2,0.37,0.37
Smart Sortino/√2,0.36,0.35
Omega,1.07,1.07
,,
Max Drawdown,-33.68%,-31.79%
Longest DD Days,708,708
Volatility (ann.),22.67%,20.97%
R^2,0.2,0.2
Information Ratio,-0.0,-0.0
Calmar,0.35,0.36
Skew,-0.57,-0.79
Kurtosis,16.21,9.66
,,
Expected Daily%,0.03%,0.03%
Expected Monthly%,0.93%,0.91%
Expected Yearly%,11.69%,11.47%
Daily Value-at-Risk,-1.91%,-1.77%
Expected Shortfall (cVaR),-1.91%,-1.77%
,,
MTD,4.57%,5.02%
3M,11.64%,10.8%
6M,9.33%,10.11%
YTD,26.21%,27.04%
1Y,25.88%,27.37%
3Y (ann.),10.67%,10.15%
5Y (ann.),11.8%,11.57%
10Y (ann.),11.8%,11.57%
All-time (ann.),11.8%,11.57%
,,
Best Day,9.06%,6.34%
Worst Day,-10.94%,-8.73%
Best Month,12.7%,11.94%
Worst Month,-12.44%,-11.72%
Best Year,28.77%,29.64%
Worst Year,-18.16%,-18.67%
,,
Avg. Drawdown,-2.15%,-2.39%
Avg. Drawdown Days,22,24
Recovery Factor,1.62,1.64
Ulcer Index,0.1,0.11
Serenity Index,0.29,0.25
,,
Avg. Up Month,4.84%,4.59%
Avg. Down Month,-5.15%,-4.74%
Win Days,780.45,797.75
Loss Days,668.55,651.25
Win Days%,53.86%,55.06%
Win Month%,62.5%,62.5%
Win Quarter%,68.75%,68.75%
Win Year%,75.0%,75.0%
,,
Beta,-,0.41
Alpha,-,0.08
Correlation,-,44.23%
Treynor Ratio,-,120.16%
