time,strategy,identifier,symbol,side,type,status,multiplier,time_in_force,asset.strike,asset.multiplier,asset.asset_type,price,filled_quantity,trade_cost
2024-10-17 09:41:00-04:00,SwingHigh,71617d909ef34d57af8b3f993fbbe9fc,SPY,buy,market,new,1,gtc,0.0,1,stock,,,
2024-10-17 09:41:00-04:00,SwingHigh,71617d909ef34d57af8b3f993fbbe9fc,SPY,buy,market,fill,1,gtc,0.0,1,stock,584.26,86.0,0.0
2024-10-17 09:46:00-04:00,SwingHigh,c24447cfec044e44a629b444cbaf5bb4,SPY,buy,market,new,1,gtc,0.0,1,stock,,,
2024-10-17 09:46:00-04:00,SwingHigh,c24447cfec044e44a629b444cbaf5bb4,SPY,buy,market,fill,1,gtc,0.0,1,stock,584.35,43.0,0.0
2024-10-17 09:47:00-04:00,SwingHigh,686faf6660204722a155cc0694175376,SPY,buy,market,new,1,gtc,0.0,1,stock,,,
2024-10-17 09:47:00-04:00,SwingHigh,686faf6660204722a155cc0694175376,SPY,buy,market,fill,1,gtc,0.0,1,stock,584.48,21.0,0.0
2024-10-17 09:48:00-04:00,SwingHigh,2cacac6047724e028a715c1e38881a22,SPY,buy,market,new,1,gtc,0.0,1,stock,,,
2024-10-17 09:48:00-04:00,SwingHigh,2cacac6047724e028a715c1e38881a22,SPY,buy,market,fill,1,gtc,0.0,1,stock,584.51,11.0,0.0
2024-10-17 09:59:00-04:00,SwingHigh,22fcdb288c8141338fa0f9325cb24558,SPY,buy,market,new,1,gtc,0.0,1,stock,,,
2024-10-17 09:59:00-04:00,SwingHigh,22fcdb288c8141338fa0f9325cb24558,SPY,buy,market,fill,1,gtc,0.0,1,stock,584.179,5.0,0.0
2024-10-17 10:09:00-04:00,SwingHigh,d419ab0d0629445d9134824eb0f5ba53,SPY,buy,market,new,1,gtc,0.0,1,stock,,,
2024-10-17 10:09:00-04:00,SwingHigh,d419ab0d0629445d9134824eb0f5ba53,SPY,buy,market,fill,1,gtc,0.0,1,stock,583.1787,3.0,0.0
2024-10-17 10:13:00-04:00,SwingHigh,ce9e11d3c7dd4f31a5e1a4515fda6552,SPY,buy,market,new,1,gtc,0.0,1,stock,,,
2024-10-17 10:13:00-04:00,SwingHigh,ce9e11d3c7dd4f31a5e1a4515fda6552,SPY,buy,market,fill,1,gtc,0.0,1,stock,583.56,1.0,0.0
2024-10-17 10:19:00-04:00,SwingHigh,0184ac344b3f443ca2014cf3e9499a73,SPY,buy,market,new,1,gtc,0.0,1,stock,,,
2024-10-17 10:19:00-04:00,SwingHigh,0184ac344b3f443ca2014cf3e9499a73,SPY,buy,market,fill,1,gtc,0.0,1,stock,583.7009,1.0,0.0
2024-10-17 15:59:00-04:00,SwingHigh,26f6c831a1cc4fca9921d4e008772c9e,SPY,sell,market,new,1,day,0.0,1,stock,,,
2024-10-17 15:59:00-04:00,SwingHigh,26f6c831a1cc4fca9921d4e008772c9e,SPY,sell,market,fill,1,day,0.0,1,stock,582.36,171.0,0.0
2024-10-18 09:30:00-04:00,SwingHigh,2dea878fc5d44cdfaef2c9b22b87b458,SPY,buy,market,new,1,gtc,0.0,1,stock,,,
2024-10-18 09:30:00-04:00,SwingHigh,2dea878fc5d44cdfaef2c9b22b87b458,SPY,buy,market,fill,1,gtc,0.0,1,stock,584.07,85.0,0.0
2024-10-18 09:37:00-04:00,SwingHigh,75d53b336d1c4fd89b0c5a61be4155be,SPY,buy,market,new,1,gtc,0.0,1,stock,,,
2024-10-18 09:37:00-04:00,SwingHigh,75d53b336d1c4fd89b0c5a61be4155be,SPY,buy,market,fill,1,gtc,0.0,1,stock,582.89,43.0,0.0
2024-10-18 09:38:00-04:00,SwingHigh,4f0a5480d459413884c070a703a22e20,SPY,buy,market,new,1,gtc,0.0,1,stock,,,
2024-10-18 09:38:00-04:00,SwingHigh,4f0a5480d459413884c070a703a22e20,SPY,buy,market,fill,1,gtc,0.0,1,stock,583.0898,21.0,0.0
2024-10-18 09:39:00-04:00,SwingHigh,ab20dfa840eb4f20bad7db5cddd3adcd,SPY,buy,market,new,1,gtc,0.0,1,stock,,,
2024-10-18 09:39:00-04:00,SwingHigh,ab20dfa840eb4f20bad7db5cddd3adcd,SPY,buy,market,fill,1,gtc,0.0,1,stock,583.1696,11.0,0.0
2024-10-18 09:42:00-04:00,SwingHigh,abc54100b3f14c7dbb013b75d3eb63da,SPY,buy,market,new,1,gtc,0.0,1,stock,,,
2024-10-18 09:42:00-04:00,SwingHigh,abc54100b3f14c7dbb013b75d3eb63da,SPY,buy,market,fill,1,gtc,0.0,1,stock,583.4,5.0,0.0
