Metric,SPY,Strategy
Risk-Free Rate,4.41%,4.41%
Time in Market,73.0%,73.0%
,,
Total Return,3%,-4%
CAGR% (Annual Return),29.31%,-33.27%
,,
Sharpe,1.72,-1.95
RoMaD,11.19,-3.28
Corr to Benchmark,1.0,0.45
Prob. Sharpe Ratio,65.34%,20.76%
Smart Sharpe,1.03,-1.17
Sortino,2.78,-2.56
Smart Sortino,1.66,-1.53
Sortino/√2,1.97,-1.81
Smart Sortino/√2,1.18,-1.08
Omega,0.74,0.74
,,
Max Drawdown,-2.62%,-10.15%
Longest DD Days,18,31
Volatility (ann.),12.47%,21.23%
R^2,0.2,0.2
Information Ratio,-0.17,-0.17
Calmar,11.19,-3.28
Skew,0.49,-0.04
Kurtosis,2.07,1.34
,,
Expected Daily%,0.07%,-0.11%
Expected Monthly%,1.28%,-1.97%
Expected Yearly%,2.57%,-3.91%
Daily Value-at-Risk,-1.0%,-1.93%
Expected Shortfall (cVaR),-1.0%,-1.93%
,,
MTD,4.75%,2.13%
3M,2.57%,-3.91%
6M,2.57%,-3.91%
YTD,2.57%,-3.91%
1Y,2.57%,-3.91%
3Y (ann.),29.31%,-33.27%
5Y (ann.),29.31%,-33.27%
10Y (ann.),29.31%,-33.27%
All-time (ann.),29.31%,-33.27%
,,
Best Day,1.96%,2.99%
Worst Day,-1.47%,-2.64%
Best Month,4.75%,2.13%
Worst Month,-2.09%,-5.91%
Best Year,2.57%,-3.91%
Worst Year,2.57%,-3.91%
,,
Avg. Drawdown,-2.31%,-10.15%
Avg. Drawdown Days,14,31
Recovery Factor,1.0,0.37
Ulcer Index,0.01,0.07
Serenity Index,-0.39,-0.12
,,
Avg. Up Month,4.75%,2.13%
Avg. Down Month,-2.09%,-5.91%
Win Days,21.93,16.44
Loss Days,15.07,20.56
Win Days%,59.26%,44.44%
Win Month%,50.0%,50.0%
Win Quarter%,100.0%,0.0%
Win Year%,100.0%,0.0%
,,
Beta,-,0.77
Alpha,-,-0.57
Correlation,-,45.04%
Treynor Ratio,-,-10.84%
