time,strategy,identifier,symbol,side,type,status,multiplier,time_in_force,asset.strike,asset.multiplier,asset.asset_type,price,filled_quantity,trade_cost
2023-11-17 09:46:00-05:00,SwingHigh,c97795e026324dea9d3b25df74344fed,SPY,buy,market,new,1,gtc,0.0,1,stock,,,
2023-11-17 09:46:00-05:00,SwingHigh,c97795e026324dea9d3b25df74344fed,SPY,buy,market,fill,1,gtc,0.0,1,stock,449.885,10.0,0.0
2023-11-17 09:47:00-05:00,SwingHigh,0030d44627414ef981a75e70c6264c98,SPY,buy,market,new,1,gtc,0.0,1,stock,,,
2023-11-17 09:47:00-05:00,SwingHigh,0030d44627414ef981a75e70c6264c98,SPY,buy,market,fill,1,gtc,0.0,1,stock,449.9099,10.0,0.0
2023-11-17 09:50:00-05:00,SwingHigh,5cfb4c136a434e99b47f9af510082d1b,SPY,buy,market,new,1,gtc,0.0,1,stock,,,
2023-11-17 09:50:00-05:00,SwingHigh,5cfb4c136a434e99b47f9af510082d1b,SPY,buy,market,fill,1,gtc,0.0,1,stock,449.86,10.0,0.0
2023-11-17 09:53:00-05:00,SwingHigh,d5acc5a7ca9948eea95eb07026531ff0,SPY,buy,market,new,1,gtc,0.0,1,stock,,,
2023-11-17 09:53:00-05:00,SwingHigh,d5acc5a7ca9948eea95eb07026531ff0,SPY,buy,market,fill,1,gtc,0.0,1,stock,449.965,10.0,0.0
2023-11-17 09:54:00-05:00,SwingHigh,20d287e1c7aa43b9863dad241cd791c2,SPY,buy,market,new,1,gtc,0.0,1,stock,,,
2023-11-17 09:54:00-05:00,SwingHigh,20d287e1c7aa43b9863dad241cd791c2,SPY,buy,market,fill,1,gtc,0.0,1,stock,450.0,10.0,0.0
2023-11-17 09:59:00-05:00,SwingHigh,245e44b1446542ab899cc6cf6586a10d,SPY,buy,market,new,1,gtc,0.0,1,stock,,,
2023-11-17 09:59:00-05:00,SwingHigh,245e44b1446542ab899cc6cf6586a10d,SPY,buy,market,fill,1,gtc,0.0,1,stock,450.1,10.0,0.0
2023-11-17 10:00:00-05:00,SwingHigh,e61770525d9142f6a83b8757a9d393ab,SPY,buy,market,new,1,gtc,0.0,1,stock,,,
2023-11-17 10:00:00-05:00,SwingHigh,e61770525d9142f6a83b8757a9d393ab,SPY,buy,market,fill,1,gtc,0.0,1,stock,450.145,10.0,0.0
2023-11-17 10:16:00-05:00,SwingHigh,a01aa833ba4a41848022235fe6986307,SPY,buy,market,new,1,gtc,0.0,1,stock,,,
2023-11-17 10:16:00-05:00,SwingHigh,a01aa833ba4a41848022235fe6986307,SPY,buy,market,fill,1,gtc,0.0,1,stock,450.1768,10.0,0.0
2023-11-17 10:19:00-05:00,SwingHigh,7510405e526f4c64b9980efaf2099f14,SPY,buy,market,new,1,gtc,0.0,1,stock,,,
2023-11-17 10:19:00-05:00,SwingHigh,7510405e526f4c64b9980efaf2099f14,SPY,buy,market,fill,1,gtc,0.0,1,stock,450.19,10.0,0.0
2023-11-17 10:24:00-05:00,SwingHigh,3045c35d9aef4201aec0a14750673de7,SPY,buy,market,new,1,gtc,0.0,1,stock,,,
2023-11-17 10:24:00-05:00,SwingHigh,3045c35d9aef4201aec0a14750673de7,SPY,buy,market,fill,1,gtc,0.0,1,stock,450.275,10.0,0.0
2023-11-17 10:25:00-05:00,SwingHigh,1fbe412aa4744885a42a338b803db048,SPY,buy,market,new,1,gtc,0.0,1,stock,,,
2023-11-17 10:25:00-05:00,SwingHigh,1fbe412aa4744885a42a338b803db048,SPY,buy,market,fill,1,gtc,0.0,1,stock,450.31,10.0,0.0
2023-11-17 10:36:00-05:00,SwingHigh,1cb218df97864a8dbe17a3a352e5c445,SPY,buy,market,new,1,gtc,0.0,1,stock,,,
2023-11-17 10:36:00-05:00,SwingHigh,1cb218df97864a8dbe17a3a352e5c445,SPY,buy,market,fill,1,gtc,0.0,1,stock,450.03,10.0,0.0
2023-11-17 10:49:00-05:00,SwingHigh,825343d048db44e587d64858be2d9e47,SPY,buy,market,new,1,gtc,0.0,1,stock,,,
2023-11-17 10:49:00-05:00,SwingHigh,825343d048db44e587d64858be2d9e47,SPY,buy,market,fill,1,gtc,0.0,1,stock,450.03,10.0,0.0
2023-11-17 10:54:00-05:00,SwingHigh,29e3365d3ef7467881889938a09a14f0,SPY,buy,market,new,1,gtc,0.0,1,stock,,,
2023-11-17 10:54:00-05:00,SwingHigh,29e3365d3ef7467881889938a09a14f0,SPY,buy,market,fill,1,gtc,0.0,1,stock,450.04,10.0,0.0
2023-11-17 10:55:00-05:00,SwingHigh,aa83be2ca91141df993b02252a9c4437,SPY,buy,market,new,1,gtc,0.0,1,stock,,,
2023-11-17 10:55:00-05:00,SwingHigh,aa83be2ca91141df993b02252a9c4437,SPY,buy,market,fill,1,gtc,0.0,1,stock,450.2,10.0,0.0
2023-11-17 10:56:00-05:00,SwingHigh,1a195228bd31413ab61290beb7be1564,SPY,buy,market,new,1,gtc,0.0,1,stock,,,
2023-11-17 10:56:00-05:00,SwingHigh,1a195228bd31413ab61290beb7be1564,SPY,buy,market,fill,1,gtc,0.0,1,stock,450.28,10.0,0.0
2023-11-17 11:08:00-05:00,SwingHigh,5c51495c04b64c2096d0861ec6c3b261,SPY,buy,market,new,1,gtc,0.0,1,stock,,,
2023-11-17 11:08:00-05:00,SwingHigh,5c51495c04b64c2096d0861ec6c3b261,SPY,buy,market,fill,1,gtc,0.0,1,stock,449.59,10.0,0.0
2023-11-17 11:09:00-05:00,SwingHigh,0efbfb01915141a3b99bbf699fc08bc1,SPY,buy,market,new,1,gtc,0.0,1,stock,,,
