time,strategy,identifier,symbol,side,type,status,multiplier,time_in_force,asset.strike,asset.multiplier,asset.asset_type,price,filled_quantity,trade_cost
2023-11-17 09:46:00-05:00,SwingHigh,2004068221d74a56bb195a0d14ff2268,SPY,buy,market,new,1,gtc,0.0,1,stock,,,
2023-11-17 09:46:00-05:00,SwingHigh,2004068221d74a56bb195a0d14ff2268,SPY,buy,market,fill,1,gtc,0.0,1,stock,449.885,10.0,0.0
2023-11-17 09:47:00-05:00,SwingHigh,a267f40b90724246a26993b42c6aa382,SPY,buy,market,new,1,gtc,0.0,1,stock,,,
2023-11-17 09:47:00-05:00,SwingHigh,a267f40b90724246a26993b42c6aa382,SPY,buy,market,fill,1,gtc,0.0,1,stock,449.9099,10.0,0.0
2023-11-17 09:50:00-05:00,SwingHigh,6d91461e251d442dbe146e9229f44f94,SPY,buy,market,new,1,gtc,0.0,1,stock,,,
2023-11-17 09:50:00-05:00,SwingHigh,6d91461e251d442dbe146e9229f44f94,SPY,buy,market,fill,1,gtc,0.0,1,stock,449.86,10.0,0.0
2023-11-17 09:53:00-05:00,SwingHigh,52c3da787e3747a4a39ad4079b2819e0,SPY,buy,market,new,1,gtc,0.0,1,stock,,,
2023-11-17 09:53:00-05:00,SwingHigh,52c3da787e3747a4a39ad4079b2819e0,SPY,buy,market,fill,1,gtc,0.0,1,stock,449.965,10.0,0.0
2023-11-17 09:54:00-05:00,SwingHigh,817a2b9beab54cb0bb43da13ee1047f0,SPY,buy,market,new,1,gtc,0.0,1,stock,,,
2023-11-17 09:54:00-05:00,SwingHigh,817a2b9beab54cb0bb43da13ee1047f0,SPY,buy,market,fill,1,gtc,0.0,1,stock,450.0,10.0,0.0
2023-11-17 09:59:00-05:00,SwingHigh,a45994cdb7f942f8ba3a076cdffd05c6,SPY,buy,market,new,1,gtc,0.0,1,stock,,,
2023-11-17 09:59:00-05:00,SwingHigh,a45994cdb7f942f8ba3a076cdffd05c6,SPY,buy,market,fill,1,gtc,0.0,1,stock,450.1,10.0,0.0
2023-11-17 10:00:00-05:00,SwingHigh,429107d3a4e549b7b8afc28b4d2c1b9a,SPY,buy,market,new,1,gtc,0.0,1,stock,,,
2023-11-17 10:00:00-05:00,SwingHigh,429107d3a4e549b7b8afc28b4d2c1b9a,SPY,buy,market,fill,1,gtc,0.0,1,stock,450.145,10.0,0.0
2023-11-17 10:16:00-05:00,SwingHigh,6f46524998694a4e8eebbf7b0d801b41,SPY,buy,market,new,1,gtc,0.0,1,stock,,,
2023-11-17 10:16:00-05:00,SwingHigh,6f46524998694a4e8eebbf7b0d801b41,SPY,buy,market,fill,1,gtc,0.0,1,stock,450.1768,10.0,0.0
2023-11-17 10:19:00-05:00,SwingHigh,b504efe40ba34fa2a77e34393af75ad1,SPY,buy,market,new,1,gtc,0.0,1,stock,,,
2023-11-17 10:19:00-05:00,SwingHigh,b504efe40ba34fa2a77e34393af75ad1,SPY,buy,market,fill,1,gtc,0.0,1,stock,450.19,10.0,0.0
