time,strategy,identifier,symbol,side,type,status,multiplier,time_in_force,asset.strike,asset.multiplier,asset.asset_type,price,filled_quantity,trade_cost
2023-11-17 09:46:00-05:00,SwingHigh,85ce519d246146eb9e82b72231589b54,SPY,buy,market,new,1,gtc,0.0,1,stock,,,
2023-11-17 09:46:00-05:00,SwingHigh,85ce519d246146eb9e82b72231589b54,SPY,buy,market,fill,1,gtc,0.0,1,stock,449.885,10.0,0.0
2023-11-17 09:47:00-05:00,SwingHigh,d00dd6ae1ca54648bb50ce43e89b3fbc,SPY,buy,market,new,1,gtc,0.0,1,stock,,,
2023-11-17 09:47:00-05:00,SwingHigh,d00dd6ae1ca54648bb50ce43e89b3fbc,SPY,buy,market,fill,1,gtc,0.0,1,stock,449.9099,10.0,0.0
2023-11-17 09:50:00-05:00,SwingHigh,d65f09652a3e4eeabc60bd6cf4589b90,SPY,buy,market,new,1,gtc,0.0,1,stock,,,
2023-11-17 09:50:00-05:00,SwingHigh,d65f09652a3e4eeabc60bd6cf4589b90,SPY,buy,market,fill,1,gtc,0.0,1,stock,449.86,10.0,0.0
2023-11-17 09:53:00-05:00,SwingHigh,a07a92f55f4242669e1826400810908d,SPY,buy,market,new,1,gtc,0.0,1,stock,,,
2023-11-17 09:53:00-05:00,SwingHigh,a07a92f55f4242669e1826400810908d,SPY,buy,market,fill,1,gtc,0.0,1,stock,449.965,10.0,0.0
2023-11-17 09:54:00-05:00,SwingHigh,7d25e63526494a87a7cb2d922bf6372d,SPY,buy,market,new,1,gtc,0.0,1,stock,,,
2023-11-17 09:54:00-05:00,SwingHigh,7d25e63526494a87a7cb2d922bf6372d,SPY,buy,market,fill,1,gtc,0.0,1,stock,450.0,10.0,0.0
2023-11-17 09:59:00-05:00,SwingHigh,6db9be7ad68f4034ae6daca4d4b0d72f,SPY,buy,market,new,1,gtc,0.0,1,stock,,,
2023-11-17 09:59:00-05:00,SwingHigh,6db9be7ad68f4034ae6daca4d4b0d72f,SPY,buy,market,fill,1,gtc,0.0,1,stock,450.1,10.0,0.0
2023-11-17 10:00:00-05:00,SwingHigh,ab8964762ef941ee92d5f73a298bccda,SPY,buy,market,new,1,gtc,0.0,1,stock,,,
2023-11-17 10:00:00-05:00,SwingHigh,ab8964762ef941ee92d5f73a298bccda,SPY,buy,market,fill,1,gtc,0.0,1,stock,450.145,10.0,0.0
2023-11-17 10:16:00-05:00,SwingHigh,938a868692114170b596007317aad1e0,SPY,buy,market,new,1,gtc,0.0,1,stock,,,
2023-11-17 10:16:00-05:00,SwingHigh,938a868692114170b596007317aad1e0,SPY,buy,market,fill,1,gtc,0.0,1,stock,450.1768,10.0,0.0
2023-11-17 10:19:00-05:00,SwingHigh,dcf8e8fee0314092acd5c9b446712b51,SPY,buy,market,new,1,gtc,0.0,1,stock,,,
2023-11-17 10:19:00-05:00,SwingHigh,dcf8e8fee0314092acd5c9b446712b51,SPY,buy,market,fill,1,gtc,0.0,1,stock,450.19,10.0,0.0
2023-11-17 10:24:00-05:00,SwingHigh,98c14cea67844f1195bc3d3a8f0f5c1f,SPY,buy,market,new,1,gtc,0.0,1,stock,,,
2023-11-17 10:24:00-05:00,SwingHigh,98c14cea67844f1195bc3d3a8f0f5c1f,SPY,buy,market,fill,1,gtc,0.0,1,stock,450.275,10.0,0.0
2023-11-17 10:25:00-05:00,SwingHigh,f8fbddafab18493a9584acccf7a8dc90,SPY,buy,market,new,1,gtc,0.0,1,stock,,,
2023-11-17 10:25:00-05:00,SwingHigh,f8fbddafab18493a9584acccf7a8dc90,SPY,buy,market,fill,1,gtc,0.0,1,stock,450.31,10.0,0.0
2023-11-17 10:36:00-05:00,SwingHigh,d3c1cd9e910f4897b932b204c8ffbfea,SPY,buy,market,new,1,gtc,0.0,1,stock,,,
2023-11-17 10:36:00-05:00,SwingHigh,d3c1cd9e910f4897b932b204c8ffbfea,SPY,buy,market,fill,1,gtc,0.0,1,stock,450.03,10.0,0.0
2023-11-17 10:49:00-05:00,SwingHigh,bf60a2de58d742bca2f79d9aead76f90,SPY,buy,market,new,1,gtc,0.0,1,stock,,,
2023-11-17 10:49:00-05:00,SwingHigh,bf60a2de58d742bca2f79d9aead76f90,SPY,buy,market,fill,1,gtc,0.0,1,stock,450.03,10.0,0.0
2023-11-17 10:54:00-05:00,SwingHigh,a4748aca1a3a4ee6833cebaae2d2eabf,SPY,buy,market,new,1,gtc,0.0,1,stock,,,
2023-11-17 10:54:00-05:00,SwingHigh,a4748aca1a3a4ee6833cebaae2d2eabf,SPY,buy,market,fill,1,gtc,0.0,1,stock,450.04,10.0,0.0
2023-11-17 10:55:00-05:00,SwingHigh,c1fbbac2483a409fa0f2656f7e7324b2,SPY,buy,market,new,1,gtc,0.0,1,stock,,,
2023-11-17 10:55:00-05:00,SwingHigh,c1fbbac2483a409fa0f2656f7e7324b2,SPY,buy,market,fill,1,gtc,0.0,1,stock,450.2,10.0,0.0
2023-11-17 10:56:00-05:00,SwingHigh,2a068e193ba740188398b7c8192b01a1,SPY,buy,market,new,1,gtc,0.0,1,stock,,,
2023-11-17 10:56:00-05:00,SwingHigh,2a068e193ba740188398b7c8192b01a1,SPY,buy,market,fill,1,gtc,0.0,1,stock,450.28,10.0,0.0
2023-11-17 11:08:00-05:00,SwingHigh,00dfb369ff1f463c9cb352681690eec1,SPY,buy,market,new,1,gtc,0.0,1,stock,,,
2023-11-17 11:08:00-05:00,SwingHigh,00dfb369ff1f463c9cb352681690eec1,SPY,buy,market,fill,1,gtc,0.0,1,stock,449.59,10.0,0.0
2023-11-17 11:09:00-05:00,SwingHigh,e8130d4cc2a14d5f8ba7276bc5d99eef,SPY,buy,market,new,1,gtc,0.0,1,stock,,,
2023-11-17 11:09:00-05:00,SwingHigh,e8130d4cc2a14d5f8ba7276bc5d99eef,SPY,buy,market,fill,1,gtc,0.0,1,stock,449.595,10.0,0.0
2023-11-17 11:10:00-05:00,SwingHigh,f62a3b2f6ef243a18dcb3572efee4cb2,SPY,buy,market,new,1,gtc,0.0,1,stock,,,
2023-11-17 11:10:00-05:00,SwingHigh,f62a3b2f6ef243a18dcb3572efee4cb2,SPY,buy,market,fill,1,gtc,0.0,1,stock,449.89,10.0,0.0
2023-11-17 11:11:00-05:00,SwingHigh,2cc23c17b30d4160b6ed939aa642763d,SPY,buy,market,new,1,gtc,0.0,1,stock,,,
2023-11-17 11:11:00-05:00,SwingHigh,2cc23c17b30d4160b6ed939aa642763d,SPY,buy,market,fill,1,gtc,0.0,1,stock,449.925,10.0,0.0
2023-11-17 11:14:00-05:00,SwingHigh,d0c371745ede48de8d1e110119b488ac,SPY,buy,market,new,1,gtc,0.0,1,stock,,,
2023-11-17 11:14:00-05:00,SwingHigh,d0c371745ede48de8d1e110119b488ac,SPY,buy,market,fill,1,gtc,0.0,1,stock,450.07,10.0,0.0
2023-11-17 11:19:00-05:00,SwingHigh,f247f5540fef4b4f8b2fd76774c873d9,SPY,buy,market,new,1,gtc,0.0,1,stock,,,
2023-11-17 11:19:00-05:00,SwingHigh,f247f5540fef4b4f8b2fd76774c873d9,SPY,buy,market,fill,1,gtc,0.0,1,stock,449.83,10.0,0.0
2023-11-17 11:22:00-05:00,SwingHigh,1a2984a7eb524b0dbc694023f39a06a1,SPY,buy,market,new,1,gtc,0.0,1,stock,,,
2023-11-17 11:22:00-05:00,SwingHigh,1a2984a7eb524b0dbc694023f39a06a1,SPY,buy,market,fill,1,gtc,0.0,1,stock,449.96,10.0,0.0
2023-11-17 11:23:00-05:00,SwingHigh,b9888bf605584194b6d19a5c877706c0,SPY,buy,market,new,1,gtc,0.0,1,stock,,,
2023-11-17 11:23:00-05:00,SwingHigh,b9888bf605584194b6d19a5c877706c0,SPY,buy,market,fill,1,gtc,0.0,1,stock,450.02,10.0,0.0
2023-11-17 11:24:00-05:00,SwingHigh,71ad39ed219446e3889e99a0e7fcdd12,SPY,buy,market,new,1,gtc,0.0,1,stock,,,
2023-11-17 11:24:00-05:00,SwingHigh,71ad39ed219446e3889e99a0e7fcdd12,SPY,buy,market,fill,1,gtc,0.0,1,stock,450.1401,10.0,0.0
2023-11-17 11:35:00-05:00,SwingHigh,1ab0e044787042e19f8eacb2346d41ed,SPY,buy,market,new,1,gtc,0.0,1,stock,,,
2023-11-17 11:35:00-05:00,SwingHigh,1ab0e044787042e19f8eacb2346d41ed,SPY,buy,market,fill,1,gtc,0.0,1,stock,449.81,10.0,0.0
